CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg04138378,Parkinson's_Disease_Blood,chr7,95849192,95849193,MIR591;SLC25A13;SLC25A13;SLC25A13,TSS200;Body;Body;Body,,2.6874639016374207e-09,-0.1798922944256059,1.0516566834655203e-06,-0.1478059993049673,1.0,0.0,1.0516566834655203e-06,-0.1478059993049673,CHALM,Common
cg09069290,Parkinson's_Disease_Blood,chr22,20745587,20745588,,,N_Shelf,3.120294311066009e-09,0.1473896033731925,1.9827451306536123e-08,0.1383131461943321,1.416525243795575e-08,-0.1409682247050019,1.416525243795575e-08,-0.1409682247050019,Both,Common
cg25868694,Parkinson's_Disease_Blood,chr15,69089281,69089282,ANP32A,Body,,3.501230962111853e-09,-0.1495887203909598,1.1163154123038471e-10,-0.1547279338393949,5.02994433495054e-08,0.1432259017029187,1.1163154123038471e-10,-0.1547279338393949,Both,Common
cg07762234,Parkinson's_Disease_Blood,chr16,2261099,2261100,C16orf79,TSS200,N_Shelf,6.447039479624183e-09,-0.1748549082290894,8.148126928612704e-05,0.1151305914133678,0.0081524085116193,0.0814192115402915,8.148126928612704e-05,0.1151305914133678,CHALM,Common
cg24773493,Parkinson's_Disease_Blood,chr5,36154983,36154984,SKP2;SKP2,Body;Body,S_Shelf,9.387647081968284e-09,0.1573548633517204,3.217540140801451e-07,0.1442081229907772,2.1512345389952373e-07,-0.1446730503703428,2.1512345389952373e-07,-0.1446730503703428,Both,Common
cg05926722,Parkinson's_Disease_Blood,chr14,26674202,26674203,,,Island,9.649296577409742e-09,0.1236067171799002,6.255974913677667e-09,0.1266485925958217,0.00044748249559845135,-0.0756242254121354,6.255974913677667e-09,0.1266485925958217,CHALM,Common
cg17693604,Parkinson's_Disease_Blood,chr19,3046805,3046806,TLE2,5'UTR,N_Shore,1.1003625690266917e-08,-0.1353397161491255,9.375255324091769e-08,-0.1279637276498349,0.0140544585112332,0.0678597925862077,9.375255324091769e-08,-0.1279637276498349,CHALM,Common
cg06674062,Parkinson's_Disease_Blood,chr7,94285887,94285888,SGCE;PEG10;PEG10;PEG10;SGCE;PEG10;SGCE,TSS1500;5'UTR;1stExon;1stExon;TSS1500;5'UTR;TSS1500,Island,1.1183894599884649e-08,0.1247163244080766,4.5094472032748654e-08,0.1388424408769003,2.984382763508042e-06,-0.1241609818713105,4.5094472032748654e-08,0.1388424408769003,Both,Common
cg04885614,Parkinson's_Disease_Blood,chr16,72130881,72130882,DHX38,Body,S_Shelf,1.138543346731475e-08,0.1552625944158152,1.0344032316677754e-07,0.1464971773166259,1.764978361471121e-07,-0.1446401141518529,1.0344032316677754e-07,0.1464971773166259,Both,Common
cg23894058,Parkinson's_Disease_Blood,chr19,51537828,51537829,KLK12;KLK12;KLK12,Body;Body;Body,S_Shelf,1.2008823675639121e-08,0.1695501330351025,1.53016136892892e-07,0.1565015667512753,5.472549931065512e-08,-0.1621493607820571,5.472549931065512e-08,-0.1621493607820571,Both,Common
cg03319887,Parkinson's_Disease_Blood,chr15,35967512,35967513,,,,1.3181102914640558e-08,-0.1514338067980044,5.034458686781117e-08,-0.1470795090929705,3.784826499638018e-08,0.1453694859967497,3.784826499638018e-08,0.1453694859967497,Both,Common
cg19625351,Parkinson's_Disease_Blood,chr3,150808388,150808389,MED12L,Body,S_Shelf,1.3201382172592488e-08,-0.1410957691191199,5.741270349916741e-09,-0.1440262482812989,1.0,0.0,5.741270349916741e-09,-0.1440262482812989,CHALM,Common
cg10379472,Parkinson's_Disease_Blood,chr16,71475452,71475453,,,Island,1.3632567001275398e-08,-0.1751728644759598,1.89869444580854e-07,-0.1612070147357762,3.0923194602693615e-08,0.1706189474134299,3.0923194602693615e-08,0.1706189474134299,Both,Common
cg26560222,Parkinson's_Disease_Blood,chr1,50888826,50888827,DMRTA2;DMRTA2,1stExon;5'UTR,Island,1.6981338265301453e-08,0.1490256051641988,9.909207101478474e-05,0.1080677390361248,8.125792450628979e-07,0.1371630165308351,8.125792450628979e-07,0.1371630165308351,Both,Common
cg14417974,Parkinson's_Disease_Blood,chr9,124058376,124058377,GSN;GSN;GSN;GSN;GSN;GSN;GSN,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,N_Shelf,1.7704266122118682e-08,0.1177075137653682,1.1970558606652842e-08,0.1139424019048701,2.2545724062201964e-08,-0.1158659930409917,1.1970558606652842e-08,0.1139424019048701,Both,Common
cg19694404,Parkinson's_Disease_Blood,chr1,200306620,200306621,,,,1.9979127805239475e-08,-0.1488932572936135,7.64458564197652e-08,-0.1429126864441098,1.0,0.0,7.64458564197652e-08,-0.1429126864441098,CHALM,Common
cg12304133,Parkinson's_Disease_Blood,chr1,2947695,2947696,,,,2.0450975601149448e-08,-0.135747816561086,4.0697212834998454e-10,-0.1486301358065511,5.843912045448873e-09,0.1374792357381277,4.0697212834998454e-10,-0.1486301358065511,Both,Common
cg03204605,Parkinson's_Disease_Blood,chr4,7941837,7941838,AFAP1;AFAP1,TSS200;TSS200,Island,2.3525915213958667e-08,0.1587752801343226,1.6901415173071066e-05,0.1739057320779763,0.0014521728970731,0.1300021020272998,1.6901415173071066e-05,0.1739057320779763,CHALM,Common
cg09132634,Parkinson's_Disease_Blood,chr6,32974122,32974123,HLA-DOA,3'UTR,N_Shore,2.385622123780224e-08,0.1379345686902677,1.0,0.0,1.0,0.0,1.0,0.0,None,EWAS-specific
cg27211284,Parkinson's_Disease_Blood,chr2,200524012,200524013,,,Island,2.4521023653729536e-08,0.1390437629095188,0.0011743968326563,0.1164988816846746,0.0011723054000639,0.1197033099372042,0.0011723054000639,0.1197033099372042,None,EWAS-specific
cg00749220,Parkinson's_Disease_Blood,chr19,19757457,19757458,ATP13A1,Body,S_Shelf,2.469500201910636e-08,-0.1609318174019902,2.0418289769595294e-07,-0.1481390137062308,5.696692782937776e-07,0.1434582386471482,2.0418289769595294e-07,-0.1481390137062308,Both,Common
cg27053763,Parkinson's_Disease_Blood,chr5,180653815,180653816,TRIM41;TRIM41,Body;Body,S_Shelf,2.7354961681412072e-08,-0.1400642749113801,6.149916405851969e-08,-0.1352978881742717,1.0,0.0,6.149916405851969e-08,-0.1352978881742717,CHALM,Common
cg01522553,Parkinson's_Disease_Blood,chr1,110775554,110775555,KCNC4;KCNC4,Body;3'UTR,,3.2688615156165706e-08,-0.1210939299194795,3.4497789659691465e-08,-0.127524745459185,5.670410466940856e-07,0.117794043079011,3.4497789659691465e-08,-0.127524745459185,Both,Common
cg02919122,Parkinson's_Disease_Blood,chr3,112109797,112109798,,,,3.646551102718919e-08,-0.1278588544141976,3.527432640382688e-08,-0.1290277926537046,7.528815063259322e-05,0.0999212330455447,3.527432640382688e-08,-0.1290277926537046,Both,Common
cg18990365,Parkinson's_Disease_Blood,chr2,183106125,183106126,PDE1A;PDE1A,Body;Body,,4.3016503029942784e-08,-0.1364831020954279,7.522421283381947e-08,-0.1341700113504029,1.0,0.0,7.522421283381947e-08,-0.1341700113504029,CHALM,Common
cg23027179,Parkinson's_Disease_Blood,chr5,32811515,32811516,,,,4.761580914153112e-08,0.1524523338878056,1.1032851848667082e-06,0.132828708940315,1.828215868698301e-06,-0.1313398485762189,1.1032851848667082e-06,0.132828708940315,Both,Common
cg19760241,Parkinson's_Disease_Blood,chr17,35300010,35300011,LHX1,Body,Island,4.8055762736382685e-08,0.1374457292589734,1.0,0.0,1.0,0.0,1.0,0.0,None,EWAS-specific
cg22259126,Parkinson's_Disease_Blood,chr6,32020750,32020751,TNXB,Body,,5.7598068540511224e-08,-0.1469532739262103,1.0,0.0,1.0,0.0,1.0,0.0,None,EWAS-specific
cg14738921,Parkinson's_Disease_Blood,chr3,157221329,157221330,VEPH1;VEPH1;VEPH1;VEPH1;VEPH1;VEPH1,TSS200;1stExon;1stExon;5'UTR;TSS200;5'UTR,,5.88653001318522e-08,0.1530516997414445,3.252576626304632e-07,0.1435566083342418,6.997226610220973e-07,-0.1383977341757186,3.252576626304632e-07,0.1435566083342418,Both,Common
cg05624199,Parkinson's_Disease_Blood,chr19,41168318,41168319,,,N_Shore,6.447928706249544e-08,-0.1141129348403076,1.1806546840605115e-06,-0.1048029347196058,5.037558293744311e-07,0.1154590655807533,5.037558293744311e-07,0.1154590655807533,Both,Common
cg20336222,Parkinson's_Disease_Blood,chr7,64164903,64164904,ZNF107;ZNF107,Body;Body,,6.685932117325961e-08,-0.1355412521164897,0.051329960337791,-0.0551233881840485,0.0760166309010873,0.050177325865061,0.051329960337791,-0.0551233881840485,None,EWAS-specific
cg08787968,Parkinson's_Disease_Blood,chr11,32451777,32451778,WT1;WT1;WT1;WT1,Body;Body;Body;Body,N_Shore,7.57243470690128e-08,-0.1630119898100383,1.875243183681129e-07,-0.1578313306113175,1.351019724908915e-06,0.1485344707342927,1.875243183681129e-07,-0.1578313306113175,Both,Common
cg02891686,Parkinson's_Disease_Blood,chr4,24801425,24801426,SOD3,Body,Island,7.724379150191944e-08,0.141555847263134,9.602781171209861e-08,0.1424812499585326,5.44425074269467e-07,-0.1328336510008278,9.602781171209861e-08,0.1424812499585326,Both,Common
cg26886965,Parkinson's_Disease_Blood,chr1,207672696,207672697,CR1;CR1,Body;Body,S_Shelf,8.196386398944057e-08,-0.1292310975509594,1.2476911618641908e-06,-0.1167925040547257,7.895205434181807e-07,0.1206855398516969,7.895205434181807e-07,0.1206855398516969,Both,Common
cg07318073,Parkinson's_Disease_Blood,chr4,74904359,74904360,CXCL3;CXCL3,1stExon;5'UTR,Island,8.48293599961824e-08,0.1453843433586628,0.0460749302461048,0.0827315742976173,0.0655935617495042,0.0751677398526546,0.0460749302461048,0.0827315742976173,None,EWAS-specific
cg04799588,Parkinson's_Disease_Blood,chr10,6263484,6263485,PFKFB3;PFKFB3,Body;Body,S_Shore,8.615799426069551e-08,-0.1636372866911971,0.2315966056323697,0.0736487662092067,1.393205626519394e-07,0.1616258970262895,1.393205626519394e-07,0.1616258970262895,CAMDA,Common
cg18085636,Parkinson's_Disease_Blood,chr10,89993734,89993735,,,,9.228468344143593e-08,-0.1316214301348087,4.974529615393987e-07,-0.1220694381090665,1.744799130992879e-07,0.1339377999439264,1.744799130992879e-07,0.1339377999439264,Both,Common
cg24904992,Parkinson's_Disease_Blood,chr17,77994779,77994780,TBC1D16,5'UTR,N_Shelf,1.0103960094413974e-07,-0.159073973297847,2.574807453181104e-06,-0.1367732752726852,1.628588033101258e-06,0.1371195916821388,1.628588033101258e-06,0.1371195916821388,Both,Common
cg25734539,Parkinson's_Disease_Blood,chr21,41028116,41028117,B3GALT5;B3GALT5;B3GALT5;B3GALT5;B3GALT5,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,,1.0541288098846187e-07,-0.1436066802771699,4.700557624276424e-08,-0.1433881535119554,1.7757403630849474e-07,0.1379277045200866,4.700557624276424e-08,-0.1433881535119554,Both,Common
cg17314545,Parkinson's_Disease_Blood,chr7,6189651,6189652,USP42,Body,N_Shelf,1.1173298870175826e-07,0.1284257891368778,0.0596821936585602,-0.0516492145727666,8.906632685963088e-07,-0.1210284785475339,8.906632685963088e-07,-0.1210284785475339,CAMDA,Common
cg09424896,Parkinson's_Disease_Blood,chr19,16284351,16284352,CIB3,TSS200,,1.1489096891429269e-07,-0.1187568775909653,6.323819863589025e-09,-0.1313343903008121,1.9877828812019288e-07,0.1206856388410381,6.323819863589025e-09,-0.1313343903008121,Both,Common
cg00115639,Parkinson's_Disease_Blood,chr17,54701692,54701693,,,,1.2035925759612504e-07,-0.1086560560289296,8.458768613106088e-08,-0.1107697751962348,1.0,0.0,8.458768613106088e-08,-0.1107697751962348,CHALM,Common
cg26143338,Parkinson's_Disease_Blood,chr5,1572230,1572231,SDHAP3,Body,S_Shore,1.20989690701581e-07,0.1502897950524445,0.005258911402329,0.082513025625049,1.3092997190375249e-06,-0.1392684451206227,1.3092997190375249e-06,-0.1392684451206227,CAMDA,Common
cg13286582,Parkinson's_Disease_Blood,chr2,37883934,37883935,CDC42EP3,5'UTR,,1.302646703653579e-07,-0.1180819477653294,1.4591103967296415e-06,-0.1057507090958964,1.8404142548980004e-05,0.0999486473879297,1.4591103967296415e-06,-0.1057507090958964,Both,Common
cg25343388,Parkinson's_Disease_Blood,chr7,5535641,5535642,MIR589;FBXL18,TSS200;Body,S_Shore,1.4119271326153718e-07,-0.1310903781545787,9.94602490673912e-08,-0.1351372953726839,0.1993531756262749,-0.0311636857738142,9.94602490673912e-08,-0.1351372953726839,CHALM,Common
cg01559904,Parkinson's_Disease_Blood,chr13,49001351,49001352,LPAR6;LPAR6;RB1,TSS1500;5'UTR;Body,,1.4879423954208586e-07,0.1009144138620291,3.952727352439537e-06,0.0829445940656772,4.918112891742928e-07,-0.0916432930084723,4.918112891742928e-07,-0.0916432930084723,Both,Common
cg27068143,Parkinson's_Disease_Blood,chr13,47471264,47471265,HTR2A;HTR2A,TSS200;TSS200,,1.5063364263360658e-07,-0.1341061741566588,5.726883924326948e-07,-0.1256154084818191,1.2597457377034412e-07,-0.1366012810121769,1.2597457377034412e-07,-0.1366012810121769,Both,Common
cg05347872,Parkinson's_Disease_Blood,chr7,157654532,157654533,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,,1.6658828645142125e-07,-0.1433326119421833,0.0764221494204679,-0.0523189874700958,8.171071399192956e-06,0.1160392499636829,8.171071399192956e-06,0.1160392499636829,CAMDA,Common
cg20294155,Parkinson's_Disease_Blood,chr10,133750461,133750462,PPP2R2D;PPP2R2D;PPP2R2D,5'UTR;Body;Body,N_Shore,1.794447975830582e-07,0.1531166205790143,2.345937290021143e-05,0.1263870678396737,6.32924102077556e-07,-0.1454106472548181,6.32924102077556e-07,-0.1454106472548181,Both,Common
cg10334741,Parkinson's_Disease_Blood,chr11,128321749,128321750,,,Island,1.871036833528239e-07,-0.117223024904835,6.030839035815699e-07,-0.0876132383011578,8.735035806766854e-05,0.0883709986250161,6.030839035815699e-07,-0.0876132383011578,Both,Common
cg15641872,Parkinson's_Disease_Blood,chr6,151687416,151687417,ZBTB2,Body,,1.9777374684654134e-07,0.1254181937769277,1.3675107424195606e-07,0.1286974444023256,1.5782023094420142e-07,-0.1299488710677786,1.3675107424195606e-07,0.1286974444023256,Both,Common
cg17107156,Parkinson's_Disease_Blood,chr17,7350244,7350245,CHRNB1,Body,S_Shore,2.100283549246612e-07,-0.1552496683569804,1.799207720468936e-06,-0.1430613462910343,0.0005478391255210887,0.1073220631153811,1.799207720468936e-06,-0.1430613462910343,CHALM,Common
cg14456161,Parkinson's_Disease_Blood,chr10,3373441,3373442,,,N_Shore,2.1445376132750246e-07,-0.1062163134951112,4.62041562933e-06,-0.0966951369646783,5.190480146646245e-05,0.0900549946380062,4.62041562933e-06,-0.0966951369646783,Both,Common
cg02037794,Parkinson's_Disease_Blood,chr6,3750475,3750476,C6orf145,Body,N_Shore,2.1643862899363762e-07,-0.1306348702873293,7.879881126999978e-07,-0.123218300641167,1.56443991775117e-07,0.1363412646756082,1.56443991775117e-07,0.1363412646756082,Both,Common
cg13179472,Parkinson's_Disease_Blood,chr11,11177888,11177889,,,,2.227860360403806e-07,-0.1085161386197975,0.0001043961960508478,-0.0938179098755721,0.0003256104542850091,0.0871265189469132,0.0001043961960508478,-0.0938179098755721,Both,Common
cg09091766,Parkinson's_Disease_Blood,chr16,24968919,24968920,ARHGAP17;ARHGAP17,Body;Body,,2.285681461222515e-07,0.120760455935926,3.836119147644497e-07,0.1154768863800593,4.814851480444116e-06,-0.1069659597199185,3.836119147644497e-07,0.1154768863800593,Both,Common
cg15456293,Parkinson's_Disease_Blood,chr8,2044148,2044149,MYOM2,Body,N_Shelf,2.329342728127295e-07,-0.1446786370286775,1.0,0.0,1.0,0.0,1.0,0.0,None,EWAS-specific
cg08112248,Parkinson's_Disease_Blood,chr6,169002003,169002004,SMOC2;SMOC2,Body;Body,,2.3828527595821257e-07,-0.1560746620918175,0.027524061381529,-0.0681278414286794,3.7332347589336575e-06,0.1387854038889362,3.7332347589336575e-06,0.1387854038889362,CAMDA,Common
cg02262358,Parkinson's_Disease_Blood,chr12,125811065,125811066,TMEM132B,TSS200,,2.423663966804106e-07,0.1461913887050965,1.470682708716544e-06,0.1381855107759918,1.5422729230299874e-07,-0.1496697320576306,1.5422729230299874e-07,-0.1496697320576306,Both,Common
cg01030406,Parkinson's_Disease_Blood,chr4,113374553,113374554,,,,2.443708281548044e-07,0.1477036821577092,2.578281388551684e-06,0.1335863082311334,1.0492530566369972e-06,-0.1389185043552911,1.0492530566369972e-06,-0.1389185043552911,Both,Common
cg01481609,Parkinson's_Disease_Blood,chr10,134920351,134920352,GPR123,Body,S_Shore,2.6412338613183005e-07,-0.1481800356979894,7.818204662505033e-08,-0.1482628581606474,3.657251155692544e-07,0.1404893061411831,7.818204662505033e-08,-0.1482628581606474,Both,Common
cg18914000,Parkinson's_Disease_Blood,chr17,53847734,53847735,PCTP;PCTP,Body;Body,,2.6622074855582416e-07,-0.1340844833893784,0.0003633761626556136,-0.0950148434404396,0.00016942757298557366,0.1094024303988178,0.00016942757298557366,0.1094024303988178,Both,Common
cg02951526,Parkinson's_Disease_Blood,chr16,12191276,12191277,SNX29,Body,,2.7703625170552064e-07,-0.1358945711787317,1.2446677615114309e-08,-0.1521580971834994,4.1433056126225574e-08,0.1467899363265777,1.2446677615114309e-08,-0.1521580971834994,Both,Common
cg11402704,Parkinson's_Disease_Blood,chr1,155296066,155296067,RUSC1;RUSC1;RUSC1;RUSC1,Body;Body;Body;Body,S_Shore,2.787591560218748e-07,-0.1231064920365561,1.1452375322314952e-07,-0.1280482889927131,2.2839585896431397e-07,0.1248015363385059,1.1452375322314952e-07,-0.1280482889927131,Both,Common
cg22607339,Parkinson's_Disease_Blood,chr1,43803159,43803160,MPL,TSS1500,,2.851069792190879e-07,-0.1169245957132797,9.83169009369416e-07,-0.110872210733315,5.15722633603762e-07,0.1156811848059453,5.15722633603762e-07,0.1156811848059453,Both,Common
cg07471943,Parkinson's_Disease_Blood,chr14,38679656,38679657,SSTR1,Body,Island,2.854878998525627e-07,0.1394507937452354,1.745438848634526e-07,0.1442986515119477,4.0294703658437233e-05,-0.1096608756724328,1.745438848634526e-07,0.1442986515119477,Both,Common
cg09286367,Parkinson's_Disease_Blood,chr7,5535692,5535693,MIR589;FBXL18,TSS200;Body,S_Shore,2.864305362278344e-07,-0.1490748204349781,0.4641077589535576,0.0595757985036853,3.173853712587136e-05,0.1225346699587308,3.173853712587136e-05,0.1225346699587308,CAMDA,Common
cg03403440,Parkinson's_Disease_Blood,chr16,560062,560063,RAB11FIP3;RAB11FIP3,Body;Body,Island,2.877403310306027e-07,-0.1050500338072898,1.0,0.0,4.494154432357668e-06,0.0993312426240435,4.494154432357668e-06,0.0993312426240435,CAMDA,Common
cg10121219,Parkinson's_Disease_Blood,chr16,71748643,71748644,PHLPP2,1stExon,,2.916513750130159e-07,0.1464734262854662,9.299627995742827e-06,0.1279037496293894,2.876984396655451e-06,-0.1354446069933491,2.876984396655451e-06,-0.1354446069933491,Both,Common
cg03958663,Parkinson's_Disease_Blood,chr6,41262467,41262468,,,,3.0226728479979213e-07,-0.1312220847074765,4.748633888857759e-06,-0.1198806594652497,2.1221150306235864e-05,0.1128252742286125,4.748633888857759e-06,-0.1198806594652497,Both,Common
cg07213616,Parkinson's_Disease_Blood,chr5,60725347,60725348,ZSWIM6,Body,,3.067796046476977e-07,0.1120177554968925,1.923869688253596e-06,0.105210177782475,7.342177256620231e-07,-0.1108047654277272,7.342177256620231e-07,-0.1108047654277272,Both,Common
cg15875904,Parkinson's_Disease_Blood,chr4,3680721,3680722,,,,3.165565110498697e-07,-0.1457421574519532,1.557139702865684e-07,-0.1545427012644574,1.0,0.0,1.557139702865684e-07,-0.1545427012644574,CHALM,Common
cg02142896,Parkinson's_Disease_Blood,chr14,56424872,56424873,,,,3.1764917810218375e-07,-0.1524662795658548,1.6286202456650934e-05,-0.1227053949180062,2.3951803385337824e-06,0.1403883485611353,2.3951803385337824e-06,0.1403883485611353,Both,Common
cg20514061,Parkinson's_Disease_Blood,chrX,107069338,107069339,MID2;MID2;MID2;MID2,1stExon;1stExon;5'UTR;5'UTR,Island,3.338338556922023e-07,-0.0338252285057996,1.0991165202812277e-07,-0.0337611878178096,0.0160466686323508,0.05117481242349,1.0991165202812277e-07,-0.0337611878178096,CHALM,Common
cg00316080,Parkinson's_Disease_Blood,chr3,124866646,124866647,SLC12A8,Body,,3.464896855492491e-07,-0.1205140399787631,7.202789927844066e-06,-0.1091519089069793,1.46282443137261e-05,0.1143316095802429,7.202789927844066e-06,-0.1091519089069793,Both,Common
cg00377070,Parkinson's_Disease_Blood,chr7,131812449,131812450,PLXNA4,3'UTR,,3.470644787547822e-07,-0.1331512783174945,6.20744881453636e-07,-0.1269416761864093,1.1343828085009082e-06,0.1244854532195884,6.20744881453636e-07,-0.1269416761864093,Both,Common
cg26452771,Parkinson's_Disease_Blood,chr11,78955619,78955620,ODZ4,5'UTR,,3.475625956841594e-07,-0.1438748930311097,0.00011164246583126192,-0.1150324969384953,3.284173805202078e-07,0.1403901444790772,3.284173805202078e-07,0.1403901444790772,Both,Common
cg20115508,Parkinson's_Disease_Blood,chr4,142134774,142134775,,,,3.628485944117033e-07,-0.1424134965104737,1.0,0.0,9.82359118181593e-07,0.129665268861417,9.82359118181593e-07,0.129665268861417,CAMDA,Common
cg00396981,Parkinson's_Disease_Blood,chr16,57787375,57787376,KATNB1,Body,,3.696904050368607e-07,0.1443014794475637,1.0,0.0,1.0271177463845255e-06,-0.1392279962904148,1.0271177463845255e-06,-0.1392279962904148,CAMDA,Common
cg17391194,Parkinson's_Disease_Blood,chr11,82401662,82401663,,,S_Shore,3.840209811111452e-07,-0.1143501591388946,3.640783059317148e-09,-0.1332237431473244,5.880978488977669e-07,0.117008452590319,3.640783059317148e-09,-0.1332237431473244,Both,Common
cg07735851,Parkinson's_Disease_Blood,chr16,3707175,3707176,DNASE1,Body,,3.9158131944301246e-07,-0.1393870849918839,0.4166735457964664,-0.0231362741946161,8.20090111253315e-06,0.1161402933028923,8.20090111253315e-06,0.1161402933028923,CAMDA,Common
cg16933626,Parkinson's_Disease_Blood,chr7,33672182,33672183,,,,4.048314062619234e-07,0.1373343016438996,4.0239431675963935e-06,0.1229323136109104,6.709628474142142e-07,-0.1347147966055444,6.709628474142142e-07,-0.1347147966055444,Both,Common
cg10302498,Parkinson's_Disease_Blood,chr12,1738292,1738293,WNT5B;WNT5B,TSS200;5'UTR,N_Shore,4.094183254358694e-07,-0.139050307622713,5.171903346758465e-07,-0.1360036472855388,1.3094796794375078e-06,0.1388165102204731,5.171903346758465e-07,-0.1360036472855388,Both,Common
cg26925644,Parkinson's_Disease_Blood,chr11,118476517,118476518,PHLDB1,TSS1500,N_Shore,4.1881479690205765e-07,0.123419103645223,2.8008836917923624e-06,0.112834335997376,4.572195160644258e-06,-0.1116965995862033,2.8008836917923624e-06,0.112834335997376,Both,Common
cg07341141,Parkinson's_Disease_Blood,chr7,102098004,102098005,ALKBH4,Body,Island,4.2970073434911014e-07,0.1533552068751321,0.0014283267608895,-0.0982823925835595,0.0005857745112096936,-0.1068964001296099,0.0005857745112096936,-0.1068964001296099,None,EWAS-specific
cg21759331,Parkinson's_Disease_Blood,chr2,209352598,209352599,PTH2R,Body,,4.34984940140212e-07,-0.1053967143135668,5.7758432584262285e-06,-0.0892266601496161,1.0,0.0,5.7758432584262285e-06,-0.0892266601496161,CHALM,Common
cg18344740,Parkinson's_Disease_Blood,chr6,26322291,26322292,,,,4.407453458265112e-07,0.1079081120400464,5.867553070620962e-07,0.1096017201630325,1.291372879190874e-05,-0.0970692937158918,5.867553070620962e-07,0.1096017201630325,Both,Common
cg07145664,Parkinson's_Disease_Blood,chr6,2579591,2579592,,,,4.582689545706237e-07,0.1521421677743442,2.904693753561006e-05,0.1272193801460817,5.7296688732060957e-08,-0.1624839706569029,5.7296688732060957e-08,-0.1624839706569029,Both,Common
cg07536018,Parkinson's_Disease_Blood,chr5,138495127,138495128,SIL1;SIL1,5'UTR;5'UTR,,4.582700400415736e-07,-0.1103076814195608,8.855193553569967e-07,-0.1119855224253424,1.3702202623199444e-05,0.0987819685195012,8.855193553569967e-07,-0.1119855224253424,Both,Common
